[2025-08-21 19:04:46] [DEBUG] TrafficDQN - Step 96: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:46] [DEBUG] TrafficDQN - Step 97: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:47] [DEBUG] TrafficDQN - Step 98: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:47] [DEBUG] TrafficDQN - Step 99: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:47] [DEBUG] TrafficDQN - Step 100: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:48] [DEBUG] TrafficDQN - Step 101: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:48] [DEBUG] TrafficDQN - Step 102: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:48] [DEBUG] TrafficDQN - Step 103: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:49] [DEBUG] TrafficDQN - Step 104: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:49] [DEBUG] TrafficDQN - Step 105: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:49] [DEBUG] TrafficDQN - Step 106: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:49] [DEBUG] TrafficDQN - Step 107: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:50] [DEBUG] TrafficDQN - Step 108: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:50] [DEBUG] TrafficDQN - Step 109: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:50] [DEBUG] TrafficDQN - Step 110: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:51] [DEBUG] TrafficDQN - Step 111: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:51] [DEBUG] TrafficDQN - Step 112: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:51] [DEBUG] TrafficDQN - Step 113: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:51] [DEBUG] TrafficDQN - Step 114: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:52] [DEBUG] TrafficDQN - Step 115: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:52] [DEBUG] TrafficDQN - Step 116: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:52] [DEBUG] TrafficDQN - Step 117: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:53] [DEBUG] TrafficDQN - Step 118: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:53] [DEBUG] TrafficDQN - Step 119: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
